iter	Passed	Remaining
0	0	31
1	0	35
2	1	32
3	1	31
4	1	32
5	2	32
6	2	31
7	2	31
8	3	30
9	3	30
10	3	30
11	4	29
12	4	29
13	4	29
14	5	29
15	5	29
16	5	28
17	6	27
18	6	27
19	6	26
20	6	26
21	7	25
22	7	25
23	7	24
24	8	24
25	8	24
26	8	23
27	9	23
28	9	22
29	9	22
30	9	21
31	10	21
32	10	20
33	10	20
34	10	20
35	11	19
36	11	19
37	11	19
38	12	18
39	12	18
40	12	18
41	13	18
42	14	18
43	14	18
44	14	18
45	15	17
46	15	17
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	17	15
53	17	14
54	17	14
55	17	14
56	18	13
57	18	13
58	18	13
59	19	12
60	19	12
61	19	12
62	19	11
63	20	11
64	20	10
65	20	10
66	21	10
67	21	10
68	22	9
69	22	9
70	22	9
71	23	8
72	23	8
73	23	8
74	24	8
75	24	7
76	24	7
77	24	7
78	25	6
79	25	6
80	25	6
81	25	5
82	26	5
83	26	5
84	26	4
85	27	4
86	27	4
87	28	3
88	28	3
89	28	3
90	29	2
91	29	2
92	29	2
93	30	1
94	30	1
95	30	1
96	31	0
97	31	0
98	31	0
99	32	0
